x1,x2,x3,x4,x5,eps
1.27,0.17,87.835,6,30628.5,0.21
1.78,0.065,102.705,5,6217,0.21
1.55,0.34,53.275,4,50708.5,0.14
0.695,0.145,92.04,8,0,-0.23
1.99,0.01,159.965,12.5,0,0.06
2.05,0.24,76.035,11,737609,1.64
0.9,0.13,75.62,16,1915,0.18
3.725,0.13,72.43,7,1593476,6.28
2.285,0.23,131.16,11,183685,0.55
1.37,0.175,87.085,6,31107,0.53
2.145,0.065,99.02,5,6913,0.24
0.99,0.17,71.905,4,120947,1.81
0.795,0.21,123.92,4,0,-0.08
1.97,0.22,73.89,11,737609,1.39
0.94,0.145,69.83,16,1915,0.13
3.755,0.155,53.52,7,1593476,6.43
2.445,0.235,127.175,11,183685,0.44
2.37,0.07,106.77,5,6913,0.24
1.955,0.325,42.97,4,32528,1.07
1.4,0.195,64.18,1,21497,0.58
0.865,0.165,71.62,8,0,-0.41
1.065,0.18,62.465,4,120947,1.39
0.85,0.21,104.88,4,0,-0.52
2.46,0.16,43.4,2,248.66,1.83
1.105,0.38,73.515,4,16.21,0.72
1.18,0.195,41.075,2,42.08,1.25
4.145,0.23,58.185,3,27.68,1.83
1.855,0.115,70.43,2,16.75,0.77
1.26,0.205,40.545,2,42.08,1.57
4.125,0.21,71.95,3,27.68,3.42
2.54,0.18,0,3,30.92,1.22
1.85,0.12,88.665,2,16.75,0.8
2.335,0.16,48.14,2,248.66,1.59
1.06,0.37,80.43,4,16.21,0.63
1.51,0.26,30.325,2,42.08,1.54
4.71,0.245,66.665,3,27.68,3.01
3.08,0.17,0,3,30.92,0.99
1.03,0.365,92.1,4,16.21,0.42
5.03,0.28,67.835,3,27.68,1.07
3.045,0.2,0,3,30.92,0.72
1.875,0.135,66.14,2,67.82,0.54
0.985,0.34,109.815,4,16.93,0.51
4.475,0.255,85.165,3,27.13,1.44
2.455,0.2,0,3,19.78,0.4
2.215,0.165,116.965,2,33.95,1.27
0.99,0.33,117.085,4,16.93,1.12
1.31,0.235,42.44,2,23.54,0.56
4.07,0.225,96.555,3,27.13,2.43
2.705,0.15,0,3,19.78,0.38
2.535,0.215,90.38,2,33.95,1.94
1.82,0.105,79.795,2,67.82,0.87
1.04,0.35,106.575,4,16.93,0.73
1.37,0.245,41.42,2,23.54,0.91
4.125,0.245,88.27,3,27.13,2.69
2.965,0.105,0,3,19.78,0.91
1.86,0.11,79.22,2,67.82,1.73
1.115,0.205,41.42,2,23.54,0.1
4.205,0.285,72.455,3,27.13,2.43
2.955,0.095,0,3,19.78,0.35
2.105,0.26,77.835,2,33.95,0.31
1.93,0.12,68.735,2,45.58,0.28
0.985,0.17,49.43,2,20.13,0.43
1.655,0.205,88.7,2,15.79,0.33
1.785,0.11,58.85,2,45.58,0.3
1.06,0.335,103.34,4,21.68,1.23
1.17,0.2,47.7,2,20.13,0.86
1.665,0.1,60.88,2,45.58,0.98
